Substation,Feeder,Asset type,Asset ID,Amps A,Amps B,Amps C,% OL A,% OL B,% OL C,Rating A,Rating B,Rating C
tyn202,tyn202_sw,Line,tyn202_sw,1484.424075257675,1805.507636123358,1732.9736764891084,371.10601881441875,451.37690903083956,433.2434191222771,400,400,400
tyn202,tyn202_sw,Line,tyn202_feeder,1405.371321559341,1699.3007711049493,1631.0334951837383,229.2612270080491,277.21056624876826,266.0739796384565,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_6_018_abc80949,1405.3716761567762,1699.3010613969388,1631.0336949969487,229.2612848542865,277.21061360472083,266.0740122344125,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_9_262_abc64916,1405.3719674056786,1699.3012999408338,1631.0338625840482,229.26133236634234,277.2106525188962,266.0740395732542,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_9p009_b1169710,0,231.25857197820756,0,0,154.17238131880504,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9p008_b1169643,0,221.06967078191107,0,0,147.37978052127406,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9p007_b1169641,0,163.2719946897376,0,0,108.84799645982505,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9_479_abc1147658,1405.3732426251024,1468.0600007825449,1631.0345896042263,229.26154039561214,239.48776521738088,266.07415817360953,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_9_259_abc1147659,1405.37369045657,1468.0603656346057,1631.0348422344473,229.2616134513165,239.48782473647725,266.07419938571735,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_6_525_abc80939,1405.3746853052037,1468.0611734440888,1631.0353933619294,229.2617757431001,239.4879565161646,266.0742892923213,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_6_526_abc1006552,564.7010271265169,690.6551647668481,609.75636568078,92.12088533874663,112.66805297990996,99.47085900175857,613,613,613
tyn202,tyn202_sw,Line,tyn202_w_6_527_abc1006553,564.7017178406965,690.6557946299642,609.7567535600159,169.07237061098698,206.78317204489946,182.5619022634778,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_6_004_abc2670,557.5667160856725,683.7983836191917,402.0817206989239,166.9361425406205,204.7300549758059,120.38374871225265,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_6_003_abc2674,500.25201332128836,683.7988940580589,311.48866129832027,149.77605189260132,204.730207801814,93.26007823303001,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_6_402_abc2677,496.665402051342,683.7995883236193,311.48911082422404,148.70221618303654,204.7304156657543,93.26021282162397,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_6_401_abc2681,496.6658641833562,683.800009803131,311.48938463016293,148.70235454591503,204.73054185722486,93.26029479944998,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_098_abc2686,496.6662814916005,569.5537037090733,133.80405367640088,148.70247948850314,170.52506099074049,40.06109391509008,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_097_abc2690,496.6666579085043,548.8122587728527,133.80427533433883,148.70259218817495,164.31504753678226,40.06116027974216,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_095_abc2704,496.66735391897316,548.812904470901,133.80468667167236,148.70280057454286,164.3152408595512,40.06128343463244,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_094_abc2703,496.6680681184126,545.3472973261947,133.8051107758078,148.70301440671034,163.27763392999844,40.0614104119185,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_162_abc2710,496.6685149453669,541.878540630886,133.80537716115165,148.7031481872356,162.2390840212234,40.06149016800948,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_092_abc59958,496.6689176871844,541.8789143035989,109.81093086978132,148.70326876861807,162.2391958992811,32.87752421250937,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_197_a59959,243.62570103582544,0,0,112.78967640547475,0,0,216,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_198_a59947,243.6257669697107,0,0,112.78970693042163,0,0,216,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_172_a59940,239.9597200913017,0,0,111.09246300523228,0,0,216,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_173_a34941,232.60544541822867,0,0,143.5836082828572,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_174_a34952,180.94982469299308,0,0,111.69742264999573,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_175_a1148618,173.55289953982725,0,0,107.13141946902918,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_297_a1148619,173.55318379802628,0,0,107.13159493705326,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_176_a34950,173.5534238212878,0,0,107.13174309956037,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_177_a34945,166.12641217504262,0,0,102.54716800928556,0,0,162,0,0
tyn202,tyn202_sw,Line,tyn202_w_5_091_abc59956,253.0609147962541,541.8792835652363,109.81116930830495,75.76674095696231,162.23930645665757,32.8775956012889,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_090_abc95844,187.14006674599543,541.879940080402,109.81159513056818,56.02996010359145,162.23950301808443,32.87772309298448,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_089_abc95843,187.14033367760368,541.8801918199202,106.82004143469605,56.03004002323464,162.23957838919767,31.982048333741332,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_207_abc59943,187.14072856736638,541.8805634699238,106.820284119845,56.03015825370251,162.23968966165384,31.98212099396557,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_087_abc95850,183.4788582706172,503.4264936547211,103.84302615096345,54.93378990138239,150.72649510620394,31.090726392504024,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_105_abc95851,183.4792696519689,503.42688055640104,103.84327965532374,54.93391306945177,150.72661094503025,31.090802292013098,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_085_abc59941,183.47980834100855,503.4273858296435,100.86117833693456,54.93407435359538,150.72676222444417,30.197957585908554,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_083_abc95853,172.43586166850682,503.42792431021996,100.86153399772036,51.627503493564916,150.72692344617366,30.198064071173757,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_081_abc59939,172.43646071043628,496.38531272415673,100.86190453759943,51.627682847436006,148.61835710304095,30.198175011257316,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_5_079_abc34940,172.43738183639377,496.386167946653,100.86247518338017,51.62795863365083,148.61861315768056,30.198345863287475,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_253_abc34939,168.73135966352763,489.3009750866566,100.86302657828367,50.5183711567448,146.4972979301367,30.198510951581937,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_094_abc41186,105.85013449568973,135.4743018695611,71.28093340648762,94.50904865686583,120.95919809782241,63.6436905415068,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_122_abc41185,105.85070037707126,135.47482362944368,65.34908642432251,94.50955390809935,120.95966395486042,58.347398593145094,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_123_abc41192,105.85125985682086,135.47533949512223,47.54272321168439,94.51005344359005,120.96012454921627,42.44886001043249,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_124_abc80952,105.8518758511701,124.88262378319854,47.54314145483833,94.51060343854473,111.50234266357013,42.449233441819935,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_125_abc80953,105.8523186580438,124.88303252260674,41.604129822628224,94.51099880182483,111.50270760947029,37.14654448448948,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_126_abc75437,105.85276360169418,124.8834433441248,35.66382286594157,94.51139607294124,111.50307441439715,31.842698987447832,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_127_abc75436,105.8531888692404,124.88383611611037,35.66411273922172,94.5117757761075,111.50342510366997,31.842957802876537,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_128_abc75433,91.20840721827392,124.88423352167597,35.66440639890852,81.43607787345886,111.50377993006784,31.843219999025465,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_134_abc75430,43.70850444138777,124.88462799695779,35.664698272619724,39.025450394096225,111.50413214014088,31.843480600553324,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_8_135_abc75429,43.70894922966764,124.88503955228506,35.66500325049737,39.02584752648896,111.50449960025452,31.843752902229795,112,112,112
tyn202,tyn202_sw,Line,tyn202_w_9p004_c1169660,0,0,177.68643511426447,0,0,118.45762340950965,0,0,150
tyn202,tyn202_sw,Line,tyn202_w_9p001_c1169658,0,0,201.66394979592138,0,0,134.4426331972809,0,0,150
tyn202,tyn202_sw,Line,tyn202_w_9_101_abc75434,840.708233695321,778.5220222503153,1021.2898759148741,187.65808787841988,173.7772371094454,227.9664901595701,448,448,448
tyn202,tyn202_sw,Line,tyn202_w_9_378_abc75438,161.93212429672909,356.46078646072647,151.415536434574,74.9685760633005,165.02814187996594,70.09978538637685,216,216,216
tyn202,tyn202_sw,Line,tyn202_w_9_379_abc64912,161.93247057202902,346.1453528939817,151.41575088162477,74.96873637593936,160.25247819165818,70.09988466741888,216,216,216
tyn202,tyn202_sw,Line,tyn202_w_9p011_b1187353,0,173.46210694016844,0,0,115.64140462677896,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9p010_b1187354,0,173.46883745062323,0,0,115.6458916337488,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9_438_a16701,161.9475501710334,0,0,107.96503344735562,0,0,150,0,0
tyn202,tyn202_sw,Line,tyn202_w_9p038_a1169618,161.95408262785674,0,0,107.96938841857116,0,0,150,0,0
tyn202,tyn202_sw,Line,tyn202_w_9_380_c1169654,0,0,151.4167187750026,0,0,100.94447918333506,0,0,150
tyn202,tyn202_sw,Line,tyn202_w_9p005_b1169645,0,172.68451177693115,0,0,115.12300785128744,0,0,150,0
tyn202,tyn202_sw,Line,tyn202_w_9_100_abc108913,678.8135721053566,422.5087224526757,869.8843405884894,151.52088663065996,94.3099826903294,194.1706117385021,448,448,448
tyn202,tyn202_sw,Line,tyn202_w_9_099_abc64904,675.2404926151958,422.50935604408744,869.8848599677824,202.16781216023824,126.49980719882859,260.44456885262946,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_9p066_c1169717,0,0,152.88175326613387,0,0,101.92116884408924,0,0,150
tyn202,tyn202_sw,Line,tyn202_w_9_048_abc86108,671.6573629142212,422.51023871529424,582.5895602661379,201.09501883659314,126.50007147164497,174.42801205572994,334,334,334
tyn202,tyn202_sw,Line,tyn202_w_8_141_abc16722,657.2710963064491,419.0724427762437,573.4114700063192,196.7877533851644,125.47079125037237,171.68008084021534,334,334,334
