smart_inverter_function,feeder_kwh,feeder_kvarh,loads_kwh,losses_kwh,pv_kwh
unity-pf,170310.50835912582,151.0904077484956,217351.380175416,16078.860683055555,63119.73249934576
pf,173613.50828647622,26115.903956420807,217351.4982979588,17061.676301099396,60799.666312581976
volt-var,170476.3158839975,2831.257683573853,217350.98419019557,16167.677976408937,63042.346282607
