hour, t(sec), P1 (kW), P2 (kW), P3 (kW)
117, 0.00000, 1183.19, 1031.66, 1115.93
118, 0.00000, 1160.22, 1014.53, 1122.93
119, 0.00000, 1146.27, 991.665, 1079.01
120, 0.00000, 1092.02, 947.963, 1045.62
121, 0.00000, 1066.96, 921.183, 1012.12
122, 0.00000, 996.455, 865.751, 949.903
123, 0.00000, 988.837, 865.588, 942.491
124, 0.00000, 939.416, 823.719, 900.049
125, 0.00000, 961.498, 828.424, 908.458
126, 0.00000, 966.633, 847.651, 934.053
127, 0.00000, 1013.13, 899.398, 977.298
128, 0.00000, 1022.78, 886.216, 996.473
129, 0.00000, 1158.06, 993.362, 1102.54
130, 0.00000, 1127.97, 976.854, 1092.85
131, 0.00000, 1216.48, 1036.45, 1167.57
132, 0.00000, 1214.79, 1018.05, 1154.55
133, 0.00000, 1217.78, 1041.5, 1172.79
134, 0.00000, 1240.27, 1022.99, 1169.34
135, 0.00000, 1234.2, 1033.02, 1179.96
136, 0.00000, 1159.84, 974.376, 1102.13
137, 0.00000, 1205.72, 996.392, 1127.17
138, 0.00000, 1240.24, 1023.85, 1182.36
139, 0.00000, 1207.11, 996.571, 1152.02
140, 0.00000, 1183.39, 988.952, 1127.68
141, 0.00000, 1219.17, 1008.84, 1154.19
142, 0.00000, 1164.23, 947.931, 1088.35
143, 0.00000, 1123.17, 941.109, 1061.2
144, 0.00000, 1059.15, 884.039, 1011.25
145, 0.00000, 1006.79, 838.073, 959.955
146, 0.00000, 992.183, 825.605, 932.52
147, 0.00000, 926.554, 769.143, 882.803
148, 0.00000, 964.963, 828.632, 931.451
149, 0.00000, 959.965, 817.433, 920.56
150, 0.00000, 992.207, 852.003, 967.603
151, 0.00000, 1096.58, 938.38, 1055.71
152, 0.00000, 1160.33, 976.048, 1094.28
153, 0.00000, 1215.17, 1018.97, 1138.36
154, 0.00000, 1260.94, 1030.04, 1172.95
155, 0.00000, 1243.28, 1025.37, 1156.41
156, 0.00000, 1248.27, 1022.42, 1165.08
157, 0.00000, 1245.2, 1008.35, 1156.06
158, 0.00000, 1246.06, 1004.99, 1169.92
159, 0.00000, 1224.56, 986.226, 1146.88
160, 0.00000, 1220.68, 969.077, 1140.34
161, 0.00000, 1165.57, 924.755, 1102.2
162, 0.00000, 1221.99, 971.858, 1150.07
163, 0.00000, 1252.72, 1011.11, 1173.88
164, 0.00000, 1178.76, 954.706, 1121.88
165, 0.00000, 1212.28, 975.982, 1140.85
166, 0.00000, 1144.03, 921.217, 1074.79
167, 0.00000, 1095.99, 893.105, 1040.02
168, 0.00000, 1023.33, 852.592, 983.573
169, 0.00000, 984.911, 809.381, 930.486
170, 0.00000, 968.075, 811.445, 918.658
171, 0.00000, 967.328, 801.625, 903.598
172, 0.00000, 949.116, 796.444, 906.896
173, 0.00000, 913.461, 772.671, 869.764
174, 0.00000, 972.728, 817.844, 920.349
175, 0.00000, 1047.37, 892.628, 999.52
176, 0.00000, 1109.63, 928.027, 1061.66
177, 0.00000, 1201.75, 986.013, 1145.34
178, 0.00000, 1209.8, 979.934, 1132.92
179, 0.00000, 1258.34, 1017.18, 1197.13
180, 0.00000, 1287.5, 1044.53, 1221.67
181, 0.00000, 1219.85, 994.447, 1178.59
182, 0.00000, 1275.12, 1009.76, 1216.36
183, 0.00000, 1249.75, 991.757, 1182.68
184, 0.00000, 1234.15, 969.146, 1159.49
185, 0.00000, 1222.55, 958.219, 1147.96
186, 0.00000, 1234.91, 977.547, 1154.8
187, 0.00000, 1265.89, 1042.71, 1214.47
188, 0.00000, 1259.94, 1008.21, 1190.09
189, 0.00000, 1261.13, 1034.33, 1185.46
190, 0.00000, 1226.78, 997.869, 1150.82
191, 0.00000, 1226.47, 1009.61, 1161.76
192, 0.00000, 1161.42, 954.492, 1102.98
193, 0.00000, 1067.23, 883.227, 1026.69
194, 0.00000, 1073.94, 882.279, 1021.2
195, 0.00000, 1047.1, 866.334, 984.496
196, 0.00000, 1062.88, 879.923, 1004.24
197, 0.00000, 1070.16, 910.305, 1027.3
198, 0.00000, 1098.48, 926.978, 1053.13
199, 0.00000, 1200.34, 1005.43, 1148.82
200, 0.00000, 1241.34, 1047.27, 1178.58
201, 0.00000, 1267, 1066.35, 1214.43
202, 0.00000, 1281.05, 1058.95, 1206.81
203, 0.00000, 1289.16, 1053.25, 1217.68
204, 0.00000, 1250.95, 1024.92, 1196.59
205, 0.00000, 1253.23, 1017.78, 1166.54
206, 0.00000, 1238.37, 1013.85, 1164.7
207, 0.00000, 1143.62, 943.884, 1096.35
208, 0.00000, 1095.33, 899.732, 1045.9
209, 0.00000, 1060.48, 865.135, 1014.96
210, 0.00000, 1047.12, 849.147, 1005.87
211, 0.00000, 1085.43, 908.318, 1045.5
212, 0.00000, 1034.15, 858.841, 1017.86
213, 0.00000, 1012.34, 850.012, 980.41
214, 0.00000, 970.4, 812.365, 961.673
215, 0.00000, 973.751, 805.074, 937.013
216, 0.00000, 967.595, 806.667, 907.359
217, 0.00000, 923.138, 760.994, 880.282
218, 0.00000, 892.982, 744.277, 843.307
219, 0.00000, 870.767, 724.577, 825.058
220, 0.00000, 861.368, 721.582, 819.826
221, 0.00000, 858.292, 708.033, 816.454
222, 0.00000, 869.72, 715.175, 833.906
223, 0.00000, 892.497, 743.979, 857.728
224, 0.00000, 942.635, 771.511, 894.567
225, 0.00000, 943.781, 753.47, 885.873
226, 0.00000, 1011.77, 805.796, 943.626
227, 0.00000, 1043.57, 836.975, 987.89
228, 0.00000, 1068.79, 842.699, 985.128
229, 0.00000, 1112.94, 889.907, 1034.56
230, 0.00000, 1095.12, 874.455, 1021.04
231, 0.00000, 1120.68, 914.784, 1046.8
232, 0.00000, 1146.45, 908.343, 1066.51
233, 0.00000, 1130.35, 926.799, 1068.7
234, 0.00000, 1166.97, 968.477, 1123.5
235, 0.00000, 1165.98, 975.805, 1136.86
236, 0.00000, 1149.81, 942.517, 1100.19
237, 0.00000, 1164.24, 971.822, 1103.83
238, 0.00000, 1121.86, 953.952, 1066.64
239, 0.00000, 1126.23, 939.524, 1053.26
240, 0.00000, 1077.83, 908.75, 1018
241, 0.00000, 1012.81, 872.946, 961.337
242, 0.00000, 998.43, 854.788, 958.58
243, 0.00000, 988.304, 863.435, 967.781
244, 0.00000, 993.499, 860.312, 957.766
245, 0.00000, 981.116, 844.158, 935.775
246, 0.00000, 1030.77, 899.296, 993.392
247, 0.00000, 1056.02, 903.82, 1008.13
248, 0.00000, 1129.81, 965.188, 1065.41
249, 0.00000, 1176.56, 986.108, 1114.09
250, 0.00000, 1209.43, 1020.3, 1137.91
251, 0.00000, 1239.25, 1019.55, 1155.42
252, 0.00000, 1216.19, 1001.11, 1149.39
253, 0.00000, 1169.39, 939.917, 1089.88
254, 0.00000, 1203.55, 963.226, 1122.39
255, 0.00000, 1178.98, 942.52, 1102.22
256, 0.00000, 1144.58, 900.453, 1054.84
257, 0.00000, 1128.12, 887.487, 1049.62
258, 0.00000, 1138.75, 904.015, 1056.97
259, 0.00000, 1205.93, 982.761, 1136.38
260, 0.00000, 1221.86, 981.94, 1132.65
261, 0.00000, 1213.43, 1008.73, 1135.55
262, 0.00000, 1256.55, 1047.63, 1171.75
263, 0.00000, 1193.32, 982.406, 1106.23
264, 0.00000, 1161.88, 977.49, 1085.8
265, 0.00000, 1083.21, 893.345, 1006.78
266, 0.00000, 1125.01, 942.311, 1052
267, 0.00000, 1077.14, 901.492, 1010.12
268, 0.00000, 1012.37, 853.292, 963.132
269, 0.00000, 1037.16, 872.132, 977.39
270, 0.00000, 1085.34, 919.759, 1043.98
271, 0.00000, 1148.96, 990.344, 1128.71
272, 0.00000, 1188.27, 1010.58, 1129.37
273, 0.00000, 1234.24, 1037.87, 1182.73
274, 0.00000, 1232.89, 1021.96, 1164.93
275, 0.00000, 1289.63, 1065.68, 1211.67
276, 0.00000, 1263.85, 1028.97, 1195.78
277, 0.00000, 1205.54, 981.968, 1143.49
278, 0.00000, 1220.41, 987.171, 1150.78
279, 0.00000, 1201.45, 970.394, 1130.26
280, 0.00000, 1210.58, 978.921, 1132.77
281, 0.00000, 1155.22, 923.734, 1074.14
282, 0.00000, 1158.87, 924.492, 1104.35
283, 0.00000, 1213.88, 991.928, 1148.53
284, 0.00000, 1191.27, 972.799, 1145.18
285, 0.00000, 1201.61, 974.777, 1130.42
286, 0.00000, 1149.23, 929.193, 1073.72
287, 0.00000, 1127.78, 910.67, 1055.66
288, 0.00000, 1097.5, 889.365, 1017.69
289, 0.00000, 1081.37, 876.521, 1005.36
290, 0.00000, 1064.61, 873.665, 999.452
291, 0.00000, 994.102, 816.302, 936.937
292, 0.00000, 964.125, 799.558, 915.342
293, 0.00000, 976.047, 806.086, 913.089
294, 0.00000, 962.142, 794.12, 921.997
295, 0.00000, 996.2, 851.201, 977.417
296, 0.00000, 1092.16, 929.084, 1047.87
297, 0.00000, 1110.54, 937.543, 1056.3
298, 0.00000, 1194.15, 1006.46, 1133.83
299, 0.00000, 1187.59, 1008.17, 1131.98
300, 0.00000, 1204.87, 1014.73, 1144.83
301, 0.00000, 1191.2, 999.21, 1140.99
302, 0.00000, 1173.95, 973.543, 1109.32
303, 0.00000, 1157.98, 972.348, 1112.22
304, 0.00000, 1113.68, 918.256, 1068
305, 0.00000, 1150.25, 957.846, 1110.27
306, 0.00000, 1190.66, 1001.87, 1145.71
307, 0.00000, 1213.91, 1041.08, 1177.04
308, 0.00000, 1228.44, 1045.66, 1177.5
309, 0.00000, 1246.4, 1060.33, 1175.16
310, 0.00000, 1235.52, 1054.79, 1175.07
311, 0.00000, 1189.11, 1013.47, 1133.61
312, 0.00000, 1117.08, 958.328, 1049.86
313, 0.00000, 1052.32, 918.267, 1009.81
314, 0.00000, 1022.96, 888.233, 981.107
315, 0.00000, 1015.57, 888.784, 965.728
316, 0.00000, 991.88, 875.637, 945.796
317, 0.00000, 1008.95, 906.911, 965.449
318, 0.00000, 1071.04, 939.757, 1034.76
319, 0.00000, 1136.28, 1005.34, 1101.89
320, 0.00000, 1221.79, 1058.51, 1169.09
321, 0.00000, 1231.44, 1058.86, 1180.87
322, 0.00000, 1266.43, 1068.06, 1197.67
323, 0.00000, 1271.3, 1076.07, 1199.72
324, 0.00000, 1212.16, 1010.01, 1141.36
325, 0.00000, 1193.89, 995.119, 1136.89
326, 0.00000, 1200.13, 987.912, 1127.83
327, 0.00000, 1228.25, 1008.43, 1156.3
328, 0.00000, 1209.76, 981.714, 1143.19
329, 0.00000, 1198.58, 953, 1110.46
330, 0.00000, 1178.74, 972.904, 1133.61
331, 0.00000, 1237.63, 1044.89, 1190.5
332, 0.00000, 1192.95, 985.896, 1126.73
333, 0.00000, 1216.8, 999.843, 1131.31
334, 0.00000, 1113.88, 939.747, 1064.87
335, 0.00000, 1117.78, 963.058, 1082.36
336, 0.00000, 1099.45, 945.984, 1049.65
337, 0.00000, 1070.63, 917.951, 1028.57
338, 0.00000, 1075.08, 932.835, 1018.95
339, 0.00000, 1068.56, 928.103, 1004.04
340, 0.00000, 1047.17, 913.747, 993.434
341, 0.00000, 1036.74, 912.173, 991.772
342, 0.00000, 1099.41, 961.411, 1050.48
343, 0.00000, 1177.14, 1055.79, 1143.68
344, 0.00000, 1294.59, 1135.78, 1241.15
345, 0.00000, 1291.56, 1131.98, 1274.24
346, 0.00000, 1274.37, 1083.4, 1219.56
347, 0.00000, 1264.74, 1074.64, 1204.59
348, 0.00000, 1244.38, 1044.61, 1186.11
349, 0.00000, 1241.81, 1045.67, 1197.09
350, 0.00000, 1260, 1037.53, 1202.17
351, 0.00000, 1254.54, 1034.49, 1211.3
352, 0.00000, 1255.25, 1031.25, 1189.26
353, 0.00000, 1244.83, 1029.85, 1183.83
354, 0.00000, 1238.95, 998.011, 1165.11
355, 0.00000, 1220.37, 1002.25, 1167.19
356, 0.00000, 1222.31, 1013.31, 1165.1
357, 0.00000, 1223.85, 1028.08, 1157.93
